dx,dy,distance,dvx,dvy,speed1,speed2,heading_diff,label
35.7454,-35.2056,50.1714,-1.2516,-5.1579,4.6806,4.6798,290.9133,0
-58.0531,26.1837,63.6847,-7.7849,-16.8963,24.9733,6.3702,0.5686,0
12.7703,-23.3527,26.6163,2.0098,-14.6005,18.3556,4.1848,26.7182,0
-25.6396,-27.0942,37.3026,14.5343,12.3393,17.7724,1.3935,157.3275,1
90.058,-14.0488,91.1472,0.9442,9.4453,9.1384,2.9302,87.869,0
-8.765,41.4143,42.3317,-16.7825,-9.6866,7.7634,19.8757,75.0085,0
42.2874,59.0278,72.6121,46.6937,3.6097,28.185,26.8448,116.6307,0
-4.3265,12.9347,13.6392,-10.5961,16.6391,11.6603,8.1405,169.9143,0
-14.001,25.9501,29.4862,9.0643,30.2975,2.2365,29.6066,206.4705,0
70.1335,-8.6454,70.6644,16.2344,-16.4915,23.1381,2.2213,87.3348,0
-53.2205,-55.974,77.2367,-5.1408,1.8326,9.3295,9.7555,33.1375,0
-76.7618,24.103,80.457,-19.8236,23.282,22.8236,16.8383,99.7818,0
-49.7314,-31.965,59.1183,-18.6937,-1.8945,0.9429,19.0923,69.9173,0
-49.7184,50.6259,70.957,2.919,-4.6916,6.8639,2.3094,46.2709,0
-29.6294,6.334,30.2989,-24.2489,13.6982,24.1102,5.5971,127.158,0
-48.9437,-78.6039,92.5962,5.3786,-3.6121,6.8381,12.8132,15.3777,0
41.0459,-28.8639,50.1786,-7.8631,10.3383,3.596,10.1285,223.0944,0
-15.5161,26.8763,31.0336,26.4953,6.6716,28.8734,7.5535,70.6933,0
32.4724,46.5792,56.781,-0.747,9.1831,1.5444,8.3594,240.7334,0
84.0756,-24.7397,87.6399,-4.6822,-42.7382,20.1641,22.8486,176.6084,0
26.5747,-9.6531,28.2736,10.8976,20.6468,2.7087,25.0591,48.3342,0
63.6789,-57.4305,85.7512,12.5117,18.1912,15.3628,6.7949,169.4903,0
24.5792,-24.9214,35.0031,-6.6656,2.2913,10.232,3.4042,17.0475,0
55.9281,-10.4783,56.9012,-7.4531,-13.1407,15.8895,7.2556,289.4807,0
-56.1388,-28.3892,62.9088,-11.5014,-12.2534,21.7787,26.9133,38.5959,0
-48.0403,81.4414,94.5546,-14.7615,-11.0653,18.1929,0.2759,202.3309,0
54.3672,53.1087,76.0022,5.1427,25.7157,19.5588,6.7281,170.9748,0
32.4233,10.2732,34.0119,-27.9002,1.6418,19.7284,17.0493,98.6548,0
70.7808,14.9108,72.3343,-26.3673,25.3939,26.7614,18.9342,105.1827,0
-38.1661,22.9934,44.5573,5.4654,7.3252,8.4232,0.7295,168.6102,0
-2.5594,-58.377,58.4331,27.6578,-5.9945,0.4637,27.8496,193.8494,0
-66.9171,-46.7912,81.6536,-21.281,-25.658,25.5341,9.5077,139.4311,0
-36.6094,-59.8853,70.189,-41.258,-17.6355,18.4502,29.7016,136.1684,0
-18.0357,-3.8285,18.4376,-0.6817,1.8563,10.7847,8.8078,0.2708,0
-35.573,-41.1724,54.4115,12.6518,4.1691,23.9489,19.4989,33.7773,0
-51.4422,-24.4013,56.9362,15.9049,-4.0063,17.3484,1.0783,27.7368,0
-25.6041,-55.3485,60.9838,-27.923,-19.1797,24.678,10.8057,142.2658,0
-14.7103,-13.0474,19.6628,-8.8578,-11.7252,1.5505,15.9406,34.8461,0
-20.9791,-65.2896,68.5773,29.2807,-5.08,23.8556,8.125,129.7854,0
81.0629,-26.6674,85.3367,-6.812,-5.0101,12.2686,5.1988,33.7701,0
11.0971,-43.4662,44.8604,10.0884,-4.7002,28.646,22.1369,20.652,0
-6.3627,51.0115,51.4068,2.9549,0.7583,0.4318,3.4822,1.8986,0
-38.1287,-60.5824,71.5823,-19.8386,-7.3294,14.7485,14.2042,93.8339,0
23.6589,-57.0546,61.7655,22.8824,-14.506,11.2384,18.7758,127.2073,0
-58.8125,47.9485,75.8813,-16.374,-7.733,0.7953,17.5733,131.3122,0
7.0083,-9.7671,12.0214,-17.8139,0.3296,28.2439,11.5831,20.1024,0
-9.5013,-5.1139,10.7902,-11.1593,17.3704,2.8333,20.4902,89.2033,0
-3.0407,25.8583,26.0364,17.4516,-11.9807,3.5449,20.9021,89.4705,0
-45.3036,-62.6041,77.2768,-43.1259,13.9744,22.5184,24.205,208.0395,0
-3.1215,15.4344,15.7469,0.2264,12.8874,25.7524,12.8698,1.3219,0
40.2129,-7.6095,40.9265,34.1707,-4.3292,9.6015,26.8657,136.211,0
-58.6068,85.8775,103.9698,2.9723,26.4885,28.5182,17.2031,66.021,0
37.9308,42.371,56.8687,-43.6276,-12.0457,23.7474,23.6885,145.1571,0
38.3972,33.8175,51.1661,-6.303,-11.7391,10.5275,3.512,222.6668,0
-53.4111,59.9846,80.3175,22.0972,14.1616,2.1829,24.6558,224.9616,0
28.9433,-61.5997,68.0606,-23.6866,-26.2691,24.384,28.4175,83.7442,0
40.0887,47.4904,62.1485,-36.9062,-6.9263,12.7267,27.1906,137.3139,0
4.495,-34.9843,35.2719,-16.7772,-6.2172,3.5258,19.4763,58.5634,0
-67.646,49.3729,83.7476,21.6924,-5.9481,6.7079,28.8967,344.7808,0
48.4541,10.1822,49.5124,-18.6138,-1.9786,2.2139,16.6156,160.6337,0
-17.4858,-6.8191,18.7684,-22.046,21.587,17.5294,27.0347,84.7861,0
-49.4755,-27.0131,56.3696,4.6932,2.6133,8.3214,5.6436,39.7246,0
39.0739,90.8476,98.8942,13.9278,-34.3049,20.9449,16.0829,181.5363,0
22.6196,65.992,69.761,2.5986,29.3282,28.494,21.7716,70.262,0
